metric_id,category,catalogue_status,dashboard_alignment_status,cube_view,cube_measure,measure_present_in_serve_view,dashboard_recon_verdict,catalogue_path
meta_breakdown_ctr,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_ctr,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_ctr.yaml
meta_breakdown_hook_rate,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_hook_rate,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_hook_rate.yaml
meta_breakdown_impressions,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_impressions,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_impressions.yaml
meta_breakdown_landing_page_views,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_landing_page_views,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_landing_page_views.yaml
meta_breakdown_link_clicks,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_link_clicks,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_link_clicks.yaml
meta_breakdown_spend,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_spend,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_spend.yaml
meta_breakdown_thruplays,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_thruplays,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_thruplays.yaml
meta_breakdown_video_completion_rate,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_video_completion_rate,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_video_completion_rate.yaml
meta_clicks,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_clicks,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_clicks.yaml
meta_cost_per_landing_page_view,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_cost_per_landing_page_view,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cost_per_landing_page_view.yaml
meta_cost_per_link_click,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_cost_per_link_click,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cost_per_link_click.yaml
meta_cost_per_thruplay,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_cost_per_thruplay,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cost_per_thruplay.yaml
meta_cpc,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_cpc,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cpc.yaml
meta_cpm,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_cpm,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cpm.yaml
meta_ctr,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_ctr,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_ctr.yaml
meta_frequency,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_frequency,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_frequency.yaml
meta_hold_rate_15s,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_hold_rate_15s,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_hold_rate_15s.yaml
meta_hook_rate,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_hook_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_hook_rate.yaml
meta_impressions,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_impressions,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_impressions.yaml
meta_landing_page_views,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_landing_page_views,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_landing_page_views.yaml
meta_link_clicks,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_link_clicks,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_link_clicks.yaml
meta_reach,paid_media_diagnostic,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_reach,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_reach.yaml
meta_spend,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_spend,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_spend.yaml
meta_thruplays,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_thruplays,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_thruplays.yaml
meta_video_100_pct_views,paid_media,draft,unclear,meta_ad_performance,meta_ad_performance.meta_video_100_pct_views,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_100_pct_views.yaml
meta_video_25_pct_rate,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_video_25_pct_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_25_pct_rate.yaml
meta_video_25_pct_views,paid_media,draft,unclear,meta_ad_performance,meta_ad_performance.meta_video_25_pct_views,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_25_pct_views.yaml
meta_video_30s_views,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_video_30s_views,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_30s_views.yaml
meta_video_3s_views,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_video_3s_views,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_3s_views.yaml
meta_video_50_pct_rate,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_video_50_pct_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_50_pct_rate.yaml
meta_video_50_pct_views,paid_media,draft,unclear,meta_ad_performance,meta_ad_performance.meta_video_50_pct_views,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_50_pct_views.yaml
meta_video_75_pct_rate,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_video_75_pct_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_75_pct_rate.yaml
meta_video_75_pct_views,paid_media,draft,unclear,meta_ad_performance,meta_ad_performance.meta_video_75_pct_views,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_75_pct_views.yaml
meta_video_95_pct_views,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_video_95_pct_views,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_95_pct_views.yaml
meta_video_completion_rate,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_video_completion_rate,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_completion_rate.yaml
meta_video_plays,paid_media,draft,unclear,meta_ad_performance,meta_ad_performance.meta_video_plays,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_video_plays.yaml
net_cogs,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.net_cogs,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_cogs.yaml
net_margin_pct,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.net_margin_pct,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_margin_pct.yaml
net_profit,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.net_profit_shopify,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_profit.yaml
net_profit_all_channels,finance,certified,unclear,canonical_pnl,canonical_pnl.net_profit_all_channels,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_profit_all_channels.yaml
net_profit_blended,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.net_profit,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_profit_blended.yaml
net_profit_incl_amazon,finance,certified,not_implemented,canonical_pnl,canonical_pnl.net_profit_incl_amazon,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_profit_incl_amazon.yaml
net_roas,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.net_roas,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_roas.yaml
net_sales_all_channels,commerce,certified,drift_corrected,sales_all_channels,sales_all_channels.net_sales,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\net_sales_all_channels.yaml
new_customer_orders,commerce,approved,match,commerce_orders,commerce_orders.new_customer_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\new_customer_orders.yaml
operating_cost,finance,certified,match,canonical_pnl,canonical_pnl.operating_cost,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\operating_cost.yaml
orders,commerce,certified,match,commerce_orders,commerce_orders.orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\orders.yaml
packaging_cost,finance,certified,match,canonical_pnl,canonical_pnl.packaging_cost,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\packaging_cost.yaml
payment_gateway_fees,finance,certified,match,canonical_pnl,canonical_pnl.payment_gateway_fees,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\payment_gateway_fees.yaml
prepaid_orders,commerce,certified,match,commerce_orders,commerce_orders.prepaid_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\prepaid_orders.yaml
product_cancel_revenue,product,certified,drift_corrected,product_performance,product_performance.product_cancel_revenue,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_cancel_revenue.yaml
product_cogs,product,draft,not_implemented,product_performance,product_performance.product_cogs,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_cogs.yaml
product_cost,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.product_cost,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_cost.yaml
product_cost_all_channels,finance,certified,match,canonical_pnl,canonical_pnl.product_cost_all_channels,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_cost_all_channels.yaml
product_google_ad_spend,product,draft,not_implemented,product_ad_spend,product_ad_spend.google_spend_attributed,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_google_ad_spend.yaml
product_gross_margin_pct,product,draft,not_implemented,product_performance,product_performance.product_gross_margin_pct,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_gross_margin_pct.yaml
product_gross_profit,product,draft,not_implemented,product_performance,product_performance.gross_profit_ex_gst,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_gross_profit.yaml
product_meta_ad_spend,product,draft,not_implemented,product_ad_spend,product_ad_spend.meta_spend_attributed,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_meta_ad_spend.yaml
product_net_revenue,product,certified,drift_corrected,product_performance,product_performance.net_line_revenue_ex_gst,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_net_revenue.yaml
product_orders,product,certified,drift_corrected,product_performance,product_performance.product_orders,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_orders.yaml
product_other_ad_spend,product,draft,not_implemented,product_ad_spend,product_ad_spend.other_spend_attributed,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_other_ad_spend.yaml
product_return_revenue,product,certified,drift_corrected,product_performance,product_performance.product_return_revenue,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_return_revenue.yaml
product_total_ad_spend,product,draft,not_implemented,product_ad_spend,product_ad_spend.total_ad_spend_attributed,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_total_ad_spend.yaml
product_views,web_analytics,certified,not_implemented,web_events_daily,web_events_daily.product_views,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\product_views.yaml
refund_count,operations,certified,not_implemented,refund_events,refund_events.refund_count,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\refund_count.yaml
refund_lines,operations,certified,not_implemented,return_lifecycle,return_lifecycle.refund_lines,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\refund_lines.yaml
refunded_amount_excl_tax,operations,certified,drift_corrected,refund_events,refund_events.refunded_amount_excl_tax,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\refunded_amount_excl_tax.yaml
refunded_orders,commerce,certified,match,commerce_orders,commerce_orders.returned_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\refunded_orders.yaml
repeat_customers,customer,certified,drift_corrected,customer_ltv,customer_ltv.repeat_customers,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\repeat_customers.yaml
repeat_order_share,customer,draft,not_implemented,purchase_sequence,purchase_sequence.repeat_order_share,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\repeat_order_share.yaml
repeat_orders,customer,draft,not_implemented,purchase_sequence,purchase_sequence.repeat_orders,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\repeat_orders.yaml
repeat_purchase_net_revenue,customer,draft,not_implemented,purchase_sequence,purchase_sequence.net_revenue,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\repeat_purchase_net_revenue.yaml
repeat_purchase_orders,customer,draft,not_implemented,purchase_sequence,purchase_sequence.orders,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\repeat_purchase_orders.yaml
repeat_rate,customer,certified,drift_corrected,customer_ltv,customer_ltv.repeat_rate,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\repeat_rate.yaml
return_cancel_revenue,commerce,certified,match,commerce_orders,commerce_orders.event_revenue_deduction_excl_tax,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\return_cancel_revenue.yaml
return_recovered_cogs,operations,certified,drift_corrected,return_lifecycle,return_lifecycle.recovered_cogs,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\return_recovered_cogs.yaml
return_revenue,commerce,certified,match,canonical_pnl,canonical_pnl.return_revenue,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\return_revenue.yaml
returns_cancels,commerce,certified,match,commerce_orders,commerce_orders.returns_cancels_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\returns_cancels.yaml
returns_excl_tax,operations,certified,drift_corrected,refund_events,refund_events.returns_excl_tax,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\returns_excl_tax.yaml
rto_cost,finance,certified,match,canonical_pnl,canonical_pnl.rto_cost,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\rto_cost.yaml
shipping_cost,finance,certified,match,canonical_pnl,canonical_pnl.shipping_cost,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\shipping_cost.yaml
shopify_ad_spend,finance,certified,match,canonical_pnl,canonical_pnl.shopify_ad_spend,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\shopify_ad_spend.yaml
site_search_events,web_analytics,certified,not_implemented,web_events_daily,web_events_daily.site_search_events,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\site_search_events.yaml
taxes_on_net_sales,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.taxes_on_net_sales,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\taxes_on_net_sales.yaml
total_ad_spend,finance,certified,match,canonical_pnl,canonical_pnl.total_ad_spend,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\total_ad_spend.yaml
total_operating_cost,finance,certified,drift_corrected,canonical_pnl,canonical_pnl.total_operating_cost,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\total_operating_cost.yaml
total_operating_cost_all_channels,finance,certified,unclear,canonical_pnl,canonical_pnl.total_operating_cost_all_channels,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\total_operating_cost_all_channels.yaml
total_orders,commerce,certified,match,orders_all_channels,orders_all_channels.orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\total_orders.yaml
total_sales,commerce,certified,match,commerce_orders,commerce_orders.total_sales,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\total_sales.yaml
total_sales_all_channels,commerce,certified,drift_corrected,sales_all_channels,sales_all_channels.total_sales,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\total_sales_all_channels.yaml
touch_attributed_orders,attribution,draft,not_implemented,order_attribution,order_attribution.touch_attributed_orders,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\touch_attributed_orders.yaml
units_per_order,product,certified,drift_corrected,product_performance,product_performance.units_per_order,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\units_per_order.yaml
units_sold,product,certified,drift_corrected,product_performance,product_performance.units_sold,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\units_sold.yaml
web_events,web_analytics,certified,not_implemented,web_events_daily,web_events_daily.events,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\web_events.yaml
web_page_views,web_analytics,certified,drift_corrected,web_events_daily,web_events_daily.page_views,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\web_page_views.yaml
web_sessions,web_analytics,certified,drift_corrected,session_funnel,session_funnel.sessions,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\web_sessions.yaml
